datetime,high,low,average
2016-06-03 13:00:29,495.32,491.86,493.43
2016-06-03 14:00:22,499.56,493.54,496.01
2016-06-03 15:00:28,499.16,497.25,498.07
2016-06-03 16:00:20,505.54,498.46,502.90
2016-06-03 17:00:27,506.42,500.55,503.28
2016-06-03 18:00:28,505.12,499.63,502.60
2016-06-03 19:00:19,504.52,501.99,503.28
2016-06-03 20:00:21,506.75,501.47,503.25
2016-06-03 21:00:23,505.87,502.48,504.78
2016-06-03 22:00:24,504.16,499.98,502.18
2016-06-03 23:00:24,502.13,500.2,501.16
2016-06-04 00:00:26,502.74,501.89,502.35
2016-06-04 01:00:29,502.35,501.02,501.71
2016-06-04 02:00:22,503.71,501.96,502.91
2016-06-04 03:00:24,503.79,502.96,503.42
2016-06-04 04:00:27,504.78,503.2,503.99
2016-06-04 05:00:20,505.62,503.7,504.88
2016-06-04 06:00:30,509.93,504.57,506.44
2016-06-04 07:00:53,511.93,509.37,511.07
2016-06-04 08:00:54,515.08,510.53,511.81
2016-06-04 09:00:59,519.8,514.28,516.35
2016-06-04 10:00:52,515.68,506.69,509.48
2016-06-04 11:00:51,509.27,503.8,506.13
2016-06-04 12:00:52,508.01,504.41,506.37
2016-06-04 13:00:52,508.6,504.88,506.67
2016-06-04 14:00:58,506.77,505.33,506.16
2016-06-04 15:00:50,507.36,505.26,506.12
2016-06-04 16:00:54,506.88,496.03,502.37
2016-06-04 17:00:54,499.8,495.99,497.68
2016-06-04 18:00:57,501.36,496.62,499.57
2016-06-04 19:00:52,504.71,501.48,502.70
2016-06-04 20:00:53,506.86,502.21,503.98
2016-06-04 21:00:54,505.66,503.33,504.52
2016-06-04 22:00:57,505.93,503.56,504.81
2016-06-04 23:00:54,505.17,502.93,504.56
2016-06-05 00:00:41,510.76,504.66,506.35
2016-06-05 01:00:58,513.13,509.17,511.08
2016-06-05 02:00:57,512.67,508.8,511.26
2016-06-05 03:00:52,510.57,508.48,509.52
2016-06-05 04:00:56,510.52,509.38,509.88
2016-06-05 05:00:59,509.52,505.47,508.37
2016-06-05 06:00:58,508.12,504.69,506.49
2016-06-05 07:00:51,507.94,506.22,506.82
2016-06-05 08:00:54,508.98,506.75,507.94
2016-06-05 09:00:50,509.27,506.98,508.31
2016-06-05 10:00:55,508.02,506.13,507.08
2016-06-05 11:00:57,509.83,507.82,508.72
2016-06-05 12:00:50,514.26,505.2,509.98
2016-06-05 13:00:55,507.35,504.95,506.36
2016-06-05 14:00:50,507.52,505.72,506.75
2016-06-05 15:00:54,508.17,506.54,507.40
2016-06-05 16:00:52,508.35,506.66,507.63
2016-06-05 17:00:56,509.89,507.43,508.67
2016-06-05 18:00:53,509.82,507.15,508.71
2016-06-05 19:00:59,508.58,506.51,507.66
2016-06-05 20:00:54,508.2,507.09,507.71
2016-06-05 21:00:55,506.92,501.63,504.44
