datetime,high,low,average
2016-06-06 11:00:25,809.19,805.51,807.23
2016-06-06 12:00:26,809.14,807.48,808.63
2016-06-06 13:00:20,808.85,805.63,807.45
2016-06-06 14:00:23,805.74,804.27,805.08
2016-06-06 15:00:28,804.37,801.35,801.88
2016-06-06 16:00:21,803.47,801.02,802.47
2016-06-06 17:00:23,801.33,800.41,800.64
2016-06-06 18:00:24,802.42,799.8,801.46
2016-06-06 19:00:28,802.25,801.71,801.98
2016-06-06 20:00:24,802.76,801.04,801.82
2016-06-06 21:00:26,801.89,798.89,800.93
2016-06-06 22:00:24,800.9,793.83,795.45
2016-06-06 23:00:26,793.92,791.37,792.56
2016-06-07 00:00:29,800.08,792.82,796.60
2016-06-07 01:00:20,810.0,799.19,803.05
2016-06-07 02:00:29,808.24,803.29,807.12
2016-06-07 03:00:21,811.13,806.82,809.22
2016-06-07 04:00:26,811.55,805.55,807.48
2016-06-07 05:00:19,808.72,804.27,806.12
2016-06-07 06:00:25,808.73,805.47,807.17
2016-06-07 07:00:26,806.31,804.6,805.39
2016-06-07 08:00:21,805.48,804.84,805.20
2016-06-07 09:00:24,805.38,803.9,804.75
2016-06-07 10:00:28,809.57,804.57,807.86
2016-06-07 11:00:28,811.42,809.54,810.76
2016-06-07 12:00:28,810.22,809.47,809.97
2016-06-07 13:00:21,809.8,806.03,808.00
2016-06-07 14:00:22,806.87,801.64,804.29
2016-06-07 15:00:25,802.08,800.2,801.04
2016-06-07 16:00:26,800.7,792.4,793.77
2016-06-07 17:00:27,792.99,791.79,792.54
2016-06-07 18:00:29,791.76,791.36,791.61
2016-06-07 19:00:23,791.24,790.92,791.02
2016-06-07 20:00:27,790.27,789.56,789.96
2016-06-07 21:00:22,789.69,788.87,789.31
2016-06-07 22:00:26,788.54,786.44,787.73
2016-06-07 23:00:26,792.84,786.5,788.73
2016-06-08 00:00:27,792.41,791.31,791.94
2016-06-08 01:00:21,792.44,790.26,791.51
2016-06-08 02:00:21,792.06,787.3,789.30
2016-06-08 03:00:22,789.94,787.29,789.38
2016-06-08 04:00:25,789.92,786.8,787.33
2016-06-08 05:00:25,787.4,786.74,787.05
2016-06-08 06:00:29,787.94,784.78,786.08
2016-06-08 07:00:26,788.19,786.86,787.55
2016-06-08 08:00:27,796.86,788.17,795.02
2016-06-08 09:00:20,801.76,794.03,799.01
2016-06-08 10:00:23,801.1,797.83,799.51
2016-06-08 11:00:25,801.35,797.03,799.34
2016-06-08 12:00:27,801.85,797.14,799.70
2016-06-08 13:00:25,802.73,797.42,801.07
2016-06-08 14:00:27,804.2,800.71,802.18
2016-06-08 15:00:29,804.03,800.34,801.75
2016-06-08 16:00:27,805.34,801.65,803.42
2016-06-08 17:00:29,811.17,803.51,807.99
2016-06-08 18:00:22,814.53,808.5,810.88
2016-06-08 19:00:26,818.07,814.53,816.16
2016-06-08 20:00:28,820.01,818.07,819.37
2016-06-08 21:00:30,821.82,798.58,805.92
2016-06-08 22:00:28,802.17,795.97,799.58
2016-06-08 23:00:21,810.71,793.86,804.26
2016-06-09 00:00:23,806.54,780.51,789.11
2016-06-09 01:00:26,785.66,780.78,782.28
2016-06-09 02:00:21,783.45,779.04,781.22
2016-06-09 03:00:24,782.36,779.25,780.95
2016-06-09 04:00:27,783.02,782.37,782.79
