datetime,high,low,average
2015-10-04 08:42:51,0.0,0.0,0.00
2015-10-04 09:42:55,0.0,0.0,0.00
2015-10-04 10:42:51,0.0,0.0,0.00
2015-10-04 11:42:51,0.0,0.0,0.00
2015-10-04 12:42:59,0.0,0.0,0.00
2015-10-04 13:42:52,236.44,236.44,104.47
2015-10-04 14:42:49,236.44,236.44,236.44
2015-10-04 15:42:50,236.44,236.44,236.44
2015-10-04 16:42:56,236.44,236.44,236.44
2015-10-04 17:42:57,236.44,236.44,236.44
2015-10-04 18:42:57,236.44,236.44,236.44
2015-10-04 19:42:50,236.44,236.44,236.44
2015-10-04 20:42:51,236.44,236.44,236.44
2015-10-04 21:42:54,236.44,236.44,236.44
2015-10-04 22:42:54,236.44,236.44,236.44
2015-10-04 23:42:56,236.44,236.44,236.44
2015-10-05 00:42:56,236.44,236.44,236.44
2015-10-05 01:42:59,236.44,0.0,84.44
2015-10-05 02:42:49,0.0,0.0,0.00
2015-10-05 03:42:55,0.0,0.0,0.00
2015-10-05 04:42:51,241.2,241.2,22.97
2015-10-05 05:42:57,241.2,241.18,241.18
2015-10-05 06:42:52,241.18,240.02,240.59
2015-10-05 07:42:56,241.44,240.02,240.76
2015-10-05 08:42:51,241.44,241.44,241.44
2015-10-05 09:42:50,241.44,241.44,241.44
2015-10-05 10:42:56,241.44,241.44,241.44
2015-10-05 11:42:52,241.68,241.44,241.47
2015-10-05 12:42:55,242.11,241.68,241.86
2015-10-05 13:42:54,242.11,242.11,242.11
2015-10-05 14:42:56,242.32,242.11,242.28
2015-10-05 15:42:58,242.32,242.32,214.14
2015-10-05 16:42:50,242.35,242.32,242.32
2015-10-05 17:42:57,242.35,242.35,242.35
2015-10-05 18:42:49,246.16,242.35,244.06
2015-10-05 19:42:53,246.16,245.56,245.78
2015-10-05 20:42:55,245.56,245.56,245.56
2015-10-05 21:43:00,245.56,245.56,245.56
2015-10-05 22:42:50,245.56,245.56,245.56
2015-10-05 23:42:56,247.57,245.56,246.14
2015-10-06 00:42:56,247.57,245.62,246.46
2015-10-06 01:42:55,245.62,245.62,245.62
2015-10-06 02:42:59,0.0,0.0,0.00
2015-10-06 03:42:50,0.0,0.0,0.00
2015-10-06 04:42:58,0.0,0.0,0.00
2015-10-06 05:42:57,240.05,240.05,37.34
2015-10-06 06:42:53,240.05,238.19,239.61
2015-10-06 07:42:54,239.5,238.19,239.13
2015-10-06 08:42:52,239.5,238.89,239.44
2015-10-06 09:42:57,238.89,238.89,238.89
2015-10-06 10:42:50,238.89,238.81,238.85
2015-10-06 11:42:53,238.81,238.81,238.81
2015-10-06 12:42:58,238.81,232.01,233.05
2015-10-06 13:42:51,232.18,232.18,232.18
2015-10-06 14:42:52,232.18,232.18,232.18
2015-10-06 15:42:52,232.18,232.18,232.18
2015-10-06 16:42:52,232.18,232.18,232.18
2015-10-06 17:42:54,232.18,232.07,232.17
2015-10-06 18:42:59,232.07,231.49,231.77
2015-10-06 19:42:51,231.49,228.08,229.98
2015-10-06 20:42:56,228.08,228.0,228.07
2015-10-06 21:42:57,228.0,228.0,228.00
2015-10-06 22:42:59,228.0,227.7,227.80
2015-10-06 23:42:53,227.7,227.7,227.70
2015-10-07 00:42:55,256.54,0.0,118.65
2015-10-07 01:42:56,0.0,0.0,0.00
2015-10-07 02:42:51,0.0,0.0,0.00
2015-10-07 03:42:55,0.0,0.0,0.00
2015-10-07 04:42:50,0.0,0.0,0.00
2015-10-07 05:42:51,0.0,0.0,0.00
2015-10-07 06:42:59,244.01,244.01,144.19
2015-10-07 07:42:54,247.37,244.01,247.29
2015-10-07 08:42:58,248.17,247.37,248.07
2015-10-07 09:42:52,248.17,248.17,248.17
2015-10-07 10:42:54,248.17,246.88,247.45
2015-10-07 11:42:53,246.88,246.88,246.88
2015-10-07 12:42:57,246.88,246.88,246.88
2015-10-07 13:42:59,246.88,246.88,246.88
2015-10-07 14:42:53,246.88,246.88,246.88
2015-10-07 15:42:53,246.88,246.88,246.88
2015-10-07 16:42:55,246.88,246.88,246.88
2015-10-07 17:42:56,246.88,246.88,246.88
2015-10-07 18:42:51,247.23,246.8,247.15
2015-10-07 19:42:59,246.8,246.8,246.80
2015-10-07 20:42:51,246.8,246.55,246.56
2015-10-07 21:42:54,246.55,246.55,246.55
2015-10-07 22:42:53,246.55,0.0,46.96
2015-10-07 23:42:55,0.0,0.0,0.00
2015-10-08 00:42:58,0.0,0.0,0.00
2015-10-08 01:42:52,0.0,0.0,0.00
2015-10-08 02:42:56,0.0,0.0,0.00
2015-10-08 03:42:53,246.27,246.27,22.39
2015-10-08 04:42:49,246.27,246.27,246.27
2015-10-08 05:42:53,246.27,246.27,246.27
2015-10-08 06:42:51,246.27,246.27,246.27
2015-10-08 07:42:56,249.52,246.27,246.76
2015-10-08 08:42:59,249.52,249.52,249.52
2015-10-08 09:42:52,249.52,249.52,249.52
2015-10-08 10:42:55,249.52,249.52,249.52
2015-10-08 11:42:56,249.52,249.52,249.52
2015-10-08 12:42:59,249.52,249.52,249.52
2015-10-08 13:42:51,249.52,249.52,249.52
2015-10-08 14:42:56,250.54,249.52,249.61
2015-10-08 15:42:50,251.9,250.54,250.93
2015-10-08 16:42:56,251.9,251.9,251.90
2015-10-08 17:42:54,251.9,251.17,251.53
2015-10-08 18:42:51,251.17,251.17,251.17
2015-10-08 19:42:52,254.66,251.17,252.52
2015-10-08 20:42:56,254.66,254.66,254.66
2015-10-08 21:42:58,254.66,254.66,254.66
2015-10-08 22:42:50,254.66,254.66,254.66
2015-10-08 23:42:53,254.66,254.66,254.66
2015-10-09 00:42:50,254.66,254.66,254.66
2015-10-09 01:42:56,254.66,254.66,254.66
2015-10-09 02:42:57,254.66,245.87,252.25
2015-10-09 03:42:53,245.87,245.87,245.87
2015-10-09 04:42:56,245.87,245.87,245.87
2015-10-09 05:42:51,245.87,243.31,244.07
2015-10-09 06:42:52,247.93,243.31,246.56
2015-10-09 07:42:58,247.93,245.19,245.45
2015-10-09 08:42:52,245.21,245.21,245.21
2015-10-09 09:42:57,245.21,245.21,245.21
2015-10-09 10:42:52,245.21,245.21,245.21
2015-10-09 11:42:53,245.21,245.21,245.21
2015-10-09 12:42:56,245.21,245.21,245.21
2015-10-09 13:42:54,245.21,245.21,245.21
2015-10-09 14:42:58,245.24,245.21,245.22
2015-10-09 15:42:54,245.24,245.24,245.24
2015-10-09 16:42:59,245.24,245.24,245.24
2015-10-09 17:42:51,245.24,245.24,245.24
2015-10-09 18:42:53,246.18,244.86,245.03
2015-10-09 19:42:56,246.18,0.0,156.66
2015-10-09 20:42:56,0.0,0.0,0.00
2015-10-09 21:42:58,251.02,251.02,175.13
2015-10-09 22:42:58,251.02,251.02,251.02
2015-10-09 23:42:51,251.02,251.02,251.02
2015-10-10 00:42:51,251.02,251.02,251.02
2015-10-10 01:42:51,251.02,251.02,251.02
2015-10-10 02:42:57,251.02,251.02,251.02
2015-10-10 03:42:51,251.02,251.02,251.02
2015-10-10 04:42:59,251.02,251.02,251.02
2015-10-10 05:42:51,251.02,251.02,251.02
2015-10-10 06:42:52,251.02,251.02,251.02
2015-10-10 07:42:54,251.02,251.02,251.02
2015-10-10 08:42:50,251.02,251.02,251.02
2015-10-10 09:42:57,251.02,0.0,65.74
2015-10-10 10:42:51,0.0,0.0,0.00
2015-10-10 11:42:54,0.0,0.0,0.00
2015-10-10 12:42:57,0.0,0.0,0.00
2015-10-10 13:42:49,0.0,0.0,0.00
2015-10-10 14:42:51,0.0,0.0,0.00
2015-10-10 15:42:55,0.0,0.0,0.00
2015-10-10 16:42:59,0.0,0.0,0.00
2015-10-10 17:42:51,0.0,0.0,0.00
2015-10-10 18:42:54,0.0,0.0,0.00
2015-10-10 19:42:51,242.74,242.74,215.16
2015-10-10 20:42:54,242.74,242.74,242.74
2015-10-10 21:42:50,242.74,242.74,242.74
2015-10-10 22:42:54,242.74,242.74,242.74
2015-10-10 23:42:57,242.74,242.74,242.74
2015-10-11 00:42:53,242.74,242.74,242.74
2015-10-11 01:42:56,242.74,242.74,242.74
2015-10-11 02:42:58,242.74,242.74,242.74
2015-10-11 03:42:49,242.74,242.74,242.74
2015-10-11 04:42:51,242.74,242.74,242.74
2015-10-11 05:42:53,242.74,242.74,242.74
2015-10-11 06:42:55,242.74,242.74,242.74
2015-10-11 07:42:52,242.74,0.0,5.65
2015-10-11 08:42:55,0.0,0.0,0.00
2015-10-11 09:42:57,0.0,0.0,0.00
2015-10-11 10:42:59,0.0,0.0,0.00
2015-10-11 11:42:54,0.0,0.0,0.00
2015-10-11 12:42:59,0.0,0.0,0.00
2015-10-11 13:42:51,0.0,0.0,0.00
2015-10-11 14:42:55,0.0,0.0,0.00
2015-10-11 15:42:58,0.0,0.0,0.00
2015-10-11 16:42:53,300.0,300.0,181.40
2015-10-11 17:42:54,300.0,257.73,282.71
2015-10-11 18:42:56,257.73,257.73,257.73
2015-10-11 19:42:51,257.73,257.73,257.73
2015-10-11 20:42:52,257.73,257.73,257.73
2015-10-11 21:42:53,257.73,257.73,257.73
2015-10-11 22:42:56,257.73,257.73,257.73
2015-10-11 23:42:58,257.73,257.73,257.73
2015-10-12 00:42:53,257.73,257.73,257.73
2015-10-12 01:42:53,257.73,257.73,257.73
2015-10-12 02:42:54,257.73,253.05,254.05
2015-10-12 03:42:50,253.05,253.05,253.05
2015-10-12 04:42:51,253.05,250.11,250.63
2015-10-12 05:42:56,250.11,249.78,249.95
2015-10-12 06:42:58,249.78,249.78,249.78
2015-10-12 07:42:51,250.66,249.78,250.21
2015-10-12 08:42:54,249.87,249.85,249.86
2015-10-12 09:42:49,249.86,249.86,249.86
2015-10-12 10:42:52,249.86,243.28,246.03
2015-10-12 11:42:57,243.28,243.28,243.28
2015-10-12 12:42:51,243.28,243.28,243.28
2015-10-12 13:42:57,243.28,243.28,243.28
2015-10-12 14:42:49,243.28,242.58,242.62
2015-10-12 15:42:58,242.58,242.58,242.58
2015-10-12 16:42:52,242.58,242.58,242.58
2015-10-12 17:42:52,242.58,242.58,242.58
2015-10-12 18:42:56,242.58,242.58,242.58
2015-10-12 19:42:56,242.58,241.51,241.89
2015-10-12 20:42:51,241.51,241.29,241.40
2015-10-12 21:42:51,241.29,241.29,241.29
2015-10-12 22:42:53,241.29,226.24,228.34
2015-10-12 23:42:58,226.24,226.24,226.24
2015-10-13 00:42:56,226.24,226.24,226.24
2015-10-13 01:42:50,226.24,226.24,226.24
2015-10-13 02:42:57,226.24,0.0,126.27
2015-10-13 03:42:51,0.0,0.0,0.00
2015-10-13 04:42:53,250.0,250.0,18.29
2015-10-13 05:42:51,250.0,250.0,250.00
2015-10-13 06:42:53,250.0,245.64,249.42
2015-10-13 07:42:55,245.64,245.64,245.64
2015-10-13 08:42:55,245.64,245.64,245.64
2015-10-13 09:42:39,249.83,244.18,246.38
2015-10-13 10:42:54,244.27,244.18,244.21
2015-10-13 11:42:51,244.27,244.27,244.27
2015-10-13 12:42:52,244.27,244.27,244.27
2015-10-13 13:42:55,244.27,244.27,244.27
2015-10-13 14:42:55,244.27,244.27,244.27
2015-10-13 15:42:57,244.41,244.27,244.39
2015-10-13 16:42:56,244.41,244.14,244.34
2015-10-13 17:42:53,244.14,244.14,244.14
2015-10-13 18:42:57,244.33,244.14,244.18
2015-10-13 19:42:56,244.33,244.33,244.33
2015-10-13 20:42:56,244.33,244.33,244.33
2015-10-13 21:42:58,247.71,243.41,245.37
2015-10-13 22:42:53,249.06,247.71,248.57
2015-10-13 23:42:53,249.06,249.06,249.06
2015-10-14 00:42:56,249.06,249.06,249.06
2015-10-14 01:42:28,249.06,249.06,249.06
2015-10-14 02:42:23,249.06,249.06,249.06
2015-10-14 03:42:25,249.06,245.04,245.13
2015-10-14 04:42:22,245.04,0.0,102.57
2015-10-14 05:42:24,0.0,0.0,0.00
2015-10-14 06:42:24,0.0,0.0,0.00
2015-10-14 07:42:29,250.59,250.59,99.07
2015-10-14 08:42:24,253.42,250.59,252.20
2015-10-14 09:42:28,253.42,253.42,253.42
2015-10-14 10:42:21,253.42,250.6,251.12
2015-10-14 11:42:24,250.6,250.6,250.60
2015-10-14 12:42:23,250.6,250.6,250.60
2015-10-14 13:42:28,250.6,245.85,249.38
2015-10-14 14:41:56,245.85,245.85,245.85
2015-10-14 15:41:59,245.85,245.85,245.85
2015-10-14 16:41:55,245.85,245.85,245.85
2015-10-14 17:41:55,245.85,245.85,245.85
2015-10-14 18:41:50,245.85,245.85,245.85
2015-10-14 19:41:49,245.85,245.7,245.77
2015-10-14 20:41:50,245.7,245.2,245.38
2015-10-14 21:41:52,245.43,245.2,245.39
2015-10-14 22:41:58,245.5,245.37,245.48
2015-10-14 23:41:52,245.5,245.5,245.50
2015-10-15 00:41:53,259.2,245.5,248.69
2015-10-15 01:41:50,259.2,259.2,259.20
2015-10-15 02:41:56,259.2,259.2,259.20
2015-10-15 03:41:59,259.2,259.2,259.20
2015-10-15 04:41:39,259.2,259.2,259.20
2015-10-15 05:41:49,259.2,259.2,259.20
2015-10-15 06:41:53,259.2,259.2,259.20
2015-10-15 07:41:51,259.2,259.2,259.20
2015-10-15 08:41:53,259.2,250.56,258.02
2015-10-15 09:41:57,250.56,250.56,250.56
2015-10-15 10:41:58,250.56,0.0,28.47
2015-10-15 11:41:59,0.0,0.0,0.00
2015-10-15 12:41:50,254.95,254.95,208.60
2015-10-15 13:41:51,254.95,254.95,254.95
2015-10-15 14:41:49,254.95,254.95,254.95
2015-10-15 15:41:58,254.95,254.95,254.95
2015-10-15 16:41:58,254.95,245.45,248.83
2015-10-15 17:41:58,245.45,245.45,245.45
2015-10-15 18:41:48,245.45,245.45,245.45
2015-10-15 19:41:52,245.45,245.45,245.45
2015-10-15 20:41:56,246.34,245.45,245.91
2015-10-15 21:41:52,246.34,246.34,246.34
2015-10-15 22:41:57,246.34,246.34,246.34
2015-10-15 23:41:55,246.34,240.59,245.70
2015-10-16 00:41:55,240.59,240.59,240.59
2015-10-16 01:41:57,240.59,240.59,240.59
2015-10-16 02:41:52,240.59,240.59,240.59
2015-10-16 03:41:55,240.59,240.59,240.59
2015-10-16 04:41:54,251.64,240.59,249.49
2015-10-16 05:41:56,251.5,251.5,251.50
2015-10-16 06:41:56,251.86,251.5,251.70
2015-10-16 07:41:59,251.86,251.86,251.86
2015-10-16 08:41:52,252.33,251.86,252.24
2015-10-16 09:41:56,252.33,252.33,252.33
2015-10-16 10:41:53,252.33,252.33,252.33
2015-10-16 11:41:55,252.33,252.33,252.33
2015-10-16 12:41:56,252.33,252.33,252.33
2015-10-16 13:41:59,252.33,252.33,252.33
2015-10-16 14:41:54,252.33,252.33,252.33
2015-10-16 15:41:58,252.33,252.33,252.33
2015-10-16 16:41:53,252.33,252.33,252.33
2015-10-16 17:41:50,252.33,252.33,252.33
2015-10-16 18:41:51,252.33,0.0,74.55
2015-10-16 19:41:54,0.0,0.0,0.00
2015-10-16 20:41:57,0.0,0.0,0.00
2015-10-16 21:41:55,0.0,0.0,0.00
2015-10-16 22:41:51,0.0,0.0,0.00
2015-10-16 23:41:58,0.0,0.0,0.00
2015-10-17 00:41:51,0.0,0.0,0.00
2015-10-17 01:41:57,0.0,0.0,0.00
2015-10-17 02:41:55,0.0,0.0,0.00
2015-10-17 03:41:58,0.0,0.0,0.00
2015-10-17 04:41:50,0.0,0.0,0.00
2015-10-17 05:41:53,0.0,0.0,0.00
2015-10-17 06:41:55,0.0,0.0,0.00
2015-10-17 07:41:52,0.0,0.0,0.00
2015-10-17 08:41:59,0.0,0.0,0.00
2015-10-17 09:41:51,0.0,0.0,0.00
2015-10-17 10:41:51,0.0,0.0,0.00
2015-10-17 11:41:53,0.0,0.0,0.00
2015-10-17 12:41:56,0.0,0.0,0.00
2015-10-17 13:41:54,0.0,0.0,0.00
2015-10-17 14:41:55,0.0,0.0,0.00
2015-10-17 15:41:59,0.0,0.0,0.00
2015-10-17 16:41:52,0.0,0.0,0.00
2015-10-17 17:41:56,0.0,0.0,0.00
2015-10-17 18:41:53,0.0,0.0,0.00
2015-10-17 19:41:57,0.0,0.0,0.00
2015-10-17 20:41:57,0.0,0.0,0.00
2015-10-17 21:41:55,0.0,0.0,0.00
2015-10-17 22:41:51,0.0,0.0,0.00
2015-10-17 23:41:55,0.0,0.0,0.00
2015-10-18 00:41:53,0.0,0.0,0.00
2015-10-18 01:41:50,0.0,0.0,0.00
2015-10-18 02:41:54,0.0,0.0,0.00
2015-10-18 03:41:56,0.0,0.0,0.00
2015-10-18 04:41:52,0.0,0.0,0.00
2015-10-18 05:41:58,0.0,0.0,0.00
2015-10-18 06:41:51,0.0,0.0,0.00
2015-10-18 07:41:56,0.0,0.0,0.00
2015-10-18 08:41:59,0.0,0.0,0.00
2015-10-18 09:41:57,0.0,0.0,0.00
2015-10-18 10:41:52,0.0,0.0,0.00
2015-10-18 11:41:59,0.0,0.0,0.00
2015-10-18 12:41:50,0.0,0.0,0.00
2015-10-18 13:41:56,0.0,0.0,0.00
2015-10-18 14:41:59,0.0,0.0,0.00
2015-10-18 15:41:52,0.0,0.0,0.00
2015-10-18 16:41:54,0.0,0.0,0.00
2015-10-18 17:41:56,0.0,0.0,0.00
2015-10-18 18:41:57,0.0,0.0,0.00
2015-10-18 19:41:52,0.0,0.0,0.00
2015-10-18 20:41:55,0.0,0.0,0.00
2015-10-18 21:41:58,0.0,0.0,0.00
2015-10-18 22:41:55,0.0,0.0,0.00
2015-10-18 23:41:49,0.0,0.0,0.00
2015-10-19 00:41:57,0.0,0.0,0.00
2015-10-19 01:41:54,275.15,275.15,103.95
2015-10-19 02:41:56,275.15,275.15,275.15
2015-10-19 03:41:59,275.15,275.15,275.15
2015-10-19 04:41:51,275.15,254.72,270.40
