datetime,high,low,average
2016-06-06 11:00:54,3880.3,3858.64,3867.98
2016-06-06 12:00:56,3877.62,3861.96,3869.11
2016-06-06 13:00:51,3877.66,3864.78,3871.89
2016-06-06 14:00:53,3877.56,3858.19,3869.67
2016-06-06 15:00:57,3878.74,3861.27,3870.22
2016-06-06 16:00:59,3880.7,3863.09,3871.96
2016-06-06 17:00:55,3874.55,3866.77,3871.65
2016-06-06 18:00:54,3882.38,3874.55,3878.21
2016-06-06 19:00:57,3881.22,3865.79,3874.03
2016-06-06 20:00:56,3872.87,3858.47,3866.91
2016-06-06 21:00:55,3877.84,3857.84,3868.00
2016-06-06 22:00:57,3884.73,3872.98,3879.04
2016-06-06 23:00:55,3888.42,3854.59,3882.16
2016-06-07 00:00:58,3922.52,3884.23,3901.99
2016-06-07 01:00:59,3933.67,3906.0,3917.11
2016-06-07 02:00:49,3926.68,3909.32,3918.75
2016-06-07 03:00:51,3920.63,3876.39,3902.97
2016-06-07 04:00:54,3890.26,3865.71,3880.22
2016-06-07 05:00:58,3886.96,3865.24,3872.68
2016-06-07 06:00:55,3882.52,3865.61,3873.62
2016-06-07 07:00:56,3883.5,3866.73,3875.64
2016-06-07 08:00:52,3891.13,3874.44,3884.14
2016-06-07 09:00:54,3897.96,3881.79,3891.16
2016-06-07 10:00:56,3909.65,3886.27,3902.68
2016-06-07 11:00:58,3908.73,3895.91,3903.03
2016-06-07 12:00:58,3902.76,3889.58,3895.99
2016-06-07 13:00:50,3894.17,3875.69,3888.60
2016-06-07 14:00:50,3885.12,3838.13,3858.30
2016-06-07 15:00:56,3857.91,3843.73,3848.88
2016-06-07 16:00:56,3826.84,3787.9,3806.50
2016-06-07 17:00:57,3828.72,3801.47,3819.89
2016-06-07 18:00:49,3831.52,3818.76,3826.10
2016-06-07 19:00:52,3838.4,3823.03,3835.47
2016-06-07 20:00:59,3839.74,3835.71,3838.62
2016-06-07 21:00:53,3847.38,3836.43,3845.31
2016-06-07 22:00:55,3839.44,3814.75,3824.37
2016-06-07 23:00:55,3834.14,3814.76,3823.05
2016-06-08 00:00:57,3836.06,3824.28,3829.10
2016-06-08 01:00:51,3852.4,3836.08,3844.78
2016-06-08 02:00:53,3841.13,3814.28,3827.74
2016-06-08 03:00:52,3839.08,3821.11,3826.65
2016-06-08 04:00:53,3837.46,3819.7,3825.89
2016-06-08 05:00:55,3834.96,3815.37,3827.95
2016-06-08 06:00:57,3834.97,3815.37,3829.47
2016-06-08 07:00:56,3838.25,3822.62,3829.01
2016-06-08 08:00:57,3849.49,3826.03,3836.16
2016-06-08 09:00:50,3849.26,3836.1,3843.39
2016-06-08 10:00:53,3852.59,3838.89,3849.07
2016-06-08 11:00:54,3866.43,3848.35,3855.57
2016-06-08 12:00:58,3866.41,3852.84,3859.87
2016-06-08 13:00:55,3863.9,3852.48,3855.61
2016-06-08 14:00:56,3861.76,3840.04,3854.16
2016-06-08 15:00:58,3842.79,3828.34,3834.90
2016-06-08 16:00:58,3859.46,3842.65,3849.01
2016-06-08 17:00:50,3858.65,3843.99,3849.64
2016-06-08 18:00:51,3859.34,3856.74,3858.07
2016-06-08 19:00:58,3871.83,3849.19,3856.86
2016-06-08 20:00:58,3871.83,3845.66,3860.11
2016-06-08 21:00:50,3866.85,3834.05,3851.50
2016-06-08 22:00:59,3849.31,3834.05,3843.24
2016-06-08 23:00:50,3845.83,3833.3,3837.54
2016-06-09 00:00:53,3836.79,3828.55,3832.51
2016-06-09 01:00:46,3838.85,3827.83,3830.43
2016-06-09 02:00:52,3846.35,3830.01,3834.71
2016-06-09 03:00:54,3894.81,3836.08,3872.78
2016-06-09 04:00:57,3895.26,3880.79,3889.04
2016-06-09 05:00:51,3894.38,3874.5,3887.16
2016-06-09 06:00:56,3905.07,3883.2,3892.34
2016-06-09 07:00:56,3897.55,3881.74,3890.70
2016-06-09 08:00:48,3898.55,3887.98,3892.43
2016-06-09 09:00:49,3901.79,3891.47,3896.93
2016-06-09 10:00:51,3899.53,3893.24,3896.32
2016-06-09 11:00:52,3906.25,3899.46,3901.96
2016-06-09 12:00:56,3906.66,3898.17,3902.64
2016-06-09 13:00:52,3896.79,3884.15,3890.84
2016-06-09 14:00:53,3888.19,3873.63,3883.55
2016-06-09 15:00:57,3889.83,3883.85,3886.71
2016-06-09 16:00:57,3893.5,3886.19,3889.42
2016-06-09 17:01:00,3893.45,3889.92,3891.96
2016-06-09 18:00:54,3893.34,3886.01,3890.16
2016-06-09 19:00:56,3894.56,3889.78,3891.61
2016-06-09 20:00:56,3896.59,3887.43,3891.04
2016-06-09 21:00:56,3896.59,3885.17,3892.03
2016-06-09 22:00:50,3891.38,3880.38,3888.82
2016-06-09 23:00:54,3881.96,3794.5,3823.49
2016-06-10 00:00:58,3796.48,3789.74,3792.55
2016-06-10 01:00:56,3795.28,3788.79,3790.60
2016-06-10 02:00:52,3884.25,3785.4,3863.48
2016-06-10 03:00:54,3913.84,3878.46,3894.03
2016-06-10 04:00:51,3911.56,3878.87,3895.39
2016-06-10 05:00:57,3878.84,3820.23,3862.97
2016-06-10 06:00:56,3847.89,3819.94,3832.63
2016-06-10 07:00:49,3856.44,3847.34,3852.53
2016-06-10 08:00:55,3863.15,3851.38,3857.66
2016-06-10 09:00:56,3856.33,3849.85,3853.39
2016-06-10 10:00:57,3859.4,3848.92,3854.84
2016-06-10 11:00:55,3854.58,3841.82,3848.25
2016-06-10 12:00:57,3852.05,3842.47,3848.62
2016-06-10 13:00:57,3855.53,3843.83,3848.11
2016-06-10 14:00:59,3853.03,3845.89,3848.46
2016-06-10 15:00:52,3851.67,3841.3,3845.28
2016-06-10 16:00:55,3852.12,3845.25,3848.87
2016-06-10 17:00:58,3860.33,3848.58,3853.70
2016-06-10 18:00:54,3860.04,3852.47,3854.78
2016-06-10 19:00:57,3864.31,3852.62,3860.43
2016-06-10 20:00:58,3864.18,3820.24,3835.59
2016-06-10 21:00:56,3850.61,3839.72,3845.37
2016-06-10 22:00:58,3847.28,3838.0,3844.94
2016-06-10 23:00:54,3845.39,3837.62,3841.58
2016-06-11 00:00:57,3859.32,3839.16,3853.88
2016-06-11 01:00:56,3859.28,3847.1,3852.10
2016-06-11 02:00:51,3897.08,3849.86,3870.83
2016-06-11 03:00:53,3931.18,3893.54,3923.65
2016-06-11 04:00:58,3932.62,3926.85,3929.26
2016-06-11 05:01:00,3935.46,3919.91,3929.01
2016-06-11 06:00:58,3929.38,3850.5,3898.87
2016-06-11 07:00:50,3881.64,3850.56,3863.72
2016-06-11 08:00:55,3886.24,3867.01,3875.34
2016-06-11 09:00:55,3893.71,3867.0,3886.26
2016-06-11 10:00:57,3887.01,3877.64,3880.26
2016-06-11 11:00:56,3892.16,3868.25,3883.05
2016-06-11 12:00:54,3877.28,3867.9,3870.68
2016-06-11 13:00:57,3878.02,3870.08,3874.30
2016-06-11 14:00:52,3876.39,3865.53,3870.67
2016-06-11 15:00:51,3882.31,3865.53,3875.16
2016-06-11 16:00:53,3882.58,3872.08,3876.65
2016-06-11 17:00:57,3883.08,3874.32,3881.38
2016-06-11 18:00:59,3893.11,3882.49,3887.55
2016-06-11 19:00:51,3893.28,3890.23,3891.88
2016-06-11 20:00:53,3890.94,3890.24,3890.60
2016-06-11 21:00:53,3890.63,3880.46,3883.04
2016-06-11 22:00:58,3904.86,3882.88,3889.74
2016-06-11 23:00:50,4000.97,3891.33,3926.23
2016-06-12 00:00:53,4130.15,3992.57,4045.04
2016-06-12 01:00:55,4173.53,4117.58,4150.20
2016-06-12 02:00:54,4199.79,4155.35,4174.26
2016-06-12 03:00:51,4257.11,4172.88,4205.59
2016-06-12 04:00:53,4262.58,4231.09,4244.12
2016-06-12 05:00:56,4261.64,4234.1,4251.38
2016-06-12 06:00:52,4273.45,4247.62,4257.01
2016-06-12 07:00:53,4271.86,4251.64,4258.46
2016-06-12 08:00:56,4278.69,4251.37,4257.78
2016-06-12 09:00:54,4284.4,4265.7,4276.49
2016-06-12 10:00:56,4367.71,4284.22,4324.52
2016-06-12 11:00:57,4376.45,4335.08,4357.30
2016-06-12 12:00:59,4387.4,4340.8,4353.95
2016-06-12 13:00:51,4436.12,4350.77,4398.64
2016-06-12 14:00:52,4396.55,4354.41,4370.72
2016-06-12 15:00:55,4409.08,4375.78,4392.81
2016-06-12 16:00:56,4406.48,4391.04,4399.52
2016-06-12 17:00:57,4412.75,4357.83,4388.01
2016-06-12 18:00:59,4378.87,4356.67,4370.68
2016-06-12 19:00:52,4398.68,4375.37,4381.39
2016-06-12 20:00:56,4545.46,4397.83,4478.78
2016-06-12 21:00:55,4676.52,4545.01,4628.17
2016-06-12 22:00:51,4753.01,4647.41,4705.37
2016-06-12 23:00:54,4751.77,4580.73,4675.84
2016-06-13 00:00:56,4690.37,4579.74,4665.67
2016-06-13 01:00:58,4704.3,4655.65,4673.48
2016-06-13 02:00:53,4707.13,4671.6,4686.20
2016-06-13 03:00:56,4712.12,4656.08,4687.15
2016-06-13 04:00:53,4710.54,4675.91,4692.75
2016-06-13 05:00:53,4747.43,4717.93,4730.10
2016-06-13 06:00:53,4781.72,4660.58,4717.48
2016-06-13 07:00:52,4720.57,4660.01,4691.95
2016-06-13 08:00:56,4727.44,4696.22,4713.68
2016-06-13 09:00:50,4721.58,4669.81,4704.01
2016-06-13 10:00:54,4706.63,4678.47,4695.20
2016-06-13 11:00:54,4744.21,4717.27,4731.72
2016-06-13 12:00:54,4741.11,4711.0,4724.88
2016-06-13 13:00:55,4732.73,4709.42,4721.22
2016-06-13 14:00:58,4750.3,4710.19,4730.14
2016-06-13 15:00:57,4731.58,4553.46,4633.05
2016-06-13 16:00:58,4654.61,4582.35,4626.37
2016-06-13 17:00:52,4646.83,4600.07,4635.17
2016-06-13 18:00:52,4644.24,4618.12,4628.89
2016-06-13 19:00:53,4639.45,4601.14,4615.97
2016-06-13 20:00:57,4633.68,4592.46,4611.62
2016-06-13 21:00:59,4700.01,4615.72,4648.11
2016-06-13 22:00:53,4722.07,4682.36,4704.82
2016-06-13 23:00:53,4708.84,4603.2,4680.60
2016-06-14 00:00:59,4702.23,4663.61,4688.28
2016-06-14 01:00:54,4686.2,4642.4,4665.76
2016-06-14 02:00:56,4645.33,4608.65,4633.87
2016-06-14 03:00:58,4670.88,4640.41,4657.16
2016-06-14 04:00:49,4661.61,4640.51,4651.21
2016-06-14 05:00:51,4658.38,4638.01,4648.59
2016-06-14 06:00:53,4646.54,4605.68,4624.77
2016-06-14 07:00:55,4642.62,4622.42,4631.93
2016-06-14 08:00:55,4657.47,4615.32,4639.58
2016-06-14 09:00:58,4652.56,4599.76,4634.71
2016-06-14 10:00:52,4642.57,4614.36,4627.15
2016-06-14 11:00:54,4639.42,4580.42,4615.58
2016-06-14 12:00:57,4631.88,4619.89,4626.72
2016-06-14 13:00:50,4626.3,4601.68,4616.20
2016-06-14 14:00:51,4608.94,4557.62,4592.98
2016-06-14 15:00:58,4583.71,4521.1,4554.02
2016-06-14 16:00:51,4546.87,4466.13,4509.27
2016-06-14 17:00:54,4590.51,4472.0,4549.13
2016-06-14 18:00:57,4618.06,4558.64,4593.43
2016-06-14 19:00:51,4609.39,4591.33,4601.00
2016-06-14 20:00:51,4654.48,4600.64,4619.17
2016-06-14 21:00:57,4650.1,4631.51,4641.16
2016-06-14 22:00:51,4646.3,4611.4,4628.24
2016-06-14 23:00:54,4624.96,4602.39,4618.06
2016-06-15 00:00:53,4616.85,4581.28,4604.49
2016-06-15 01:00:56,4609.55,4577.78,4597.37
2016-06-15 02:00:59,4610.72,4573.96,4594.98
2016-06-15 03:00:52,4615.37,4595.92,4605.18
2016-06-15 04:00:53,4613.74,4586.2,4599.15
2016-06-15 05:00:55,4601.33,4579.36,4591.11
2016-06-15 06:00:51,4590.68,4565.49,4581.91
2016-06-15 07:00:53,4589.06,4564.67,4577.39
2016-06-15 08:00:56,4582.49,4530.13,4559.41
2016-06-15 09:00:58,4568.53,4533.86,4549.65
2016-06-15 10:00:54,4543.8,4513.01,4528.88
2016-06-15 11:00:54,4562.72,4502.69,4531.36
2016-06-15 12:00:58,4569.16,4540.41,4551.60
2016-06-15 13:00:54,4567.28,4540.08,4549.40
2016-06-15 14:00:54,4600.37,4566.84,4585.63
2016-06-15 15:00:58,4611.56,4566.85,4583.27
2016-06-15 16:00:52,4624.24,4590.15,4612.66
2016-06-15 17:00:53,4625.57,4593.06,4615.38
2016-06-15 18:00:54,4632.73,4614.53,4624.38
2016-06-15 19:00:56,4632.73,4607.12,4617.35
2016-06-15 20:00:56,4621.03,4609.86,4615.31
2016-06-15 21:00:57,4629.47,4602.27,4620.49
2016-06-15 22:00:59,4627.59,4598.88,4615.69
2016-06-15 23:00:59,4638.88,4616.86,4624.48
2016-06-16 00:00:58,4741.26,4636.28,4683.01
2016-06-16 01:00:49,4839.38,4756.57,4786.39
2016-06-16 02:00:58,4821.85,4786.28,4802.96
2016-06-16 03:00:51,4844.55,4803.81,4832.30
2016-06-16 04:00:54,4851.65,4823.9,4840.50
2016-06-16 05:00:58,4850.93,4830.93,4840.12
2016-06-16 06:00:52,4872.39,4832.59,4849.40
2016-06-16 07:00:59,4865.83,4845.39,4854.40
2016-06-16 08:00:52,4869.99,4847.98,4860.68
2016-06-16 09:00:53,4880.01,4848.33,4862.56
2016-06-16 10:00:58,4887.0,4872.78,4880.99
2016-06-16 11:00:51,4967.97,4858.46,4905.08
2016-06-16 12:00:55,4883.07,4850.62,4867.07
2016-06-16 13:00:57,4900.18,4865.78,4883.53
2016-06-16 14:00:49,4907.09,4865.79,4884.10
2016-06-16 15:00:52,4941.05,4876.69,4912.71
2016-06-16 16:00:57,4919.85,4875.78,4905.10
2016-06-16 17:00:57,4967.81,4918.21,4945.38
2016-06-16 18:00:57,5058.91,4938.95,4973.74
2016-06-16 19:00:59,5141.15,5050.55,5112.89
2016-06-16 20:01:00,5116.7,5070.1,5098.07
2016-06-16 21:01:26,5137.19,5109.78,5117.44
2016-06-16 22:01:27,5165.02,5124.33,5136.07
2016-06-16 23:01:27,5137.29,5087.74,5110.88
2016-06-17 00:01:28,5154.31,5120.39,5139.78
2016-06-17 01:01:28,5166.42,5126.09,5144.39
