datetime,high,low,average
2016-06-06 11:00:54,410.83,409.5,410.14
2016-06-06 12:00:56,411.27,409.99,410.86
2016-06-06 13:00:51,412.03,411.11,411.51
2016-06-06 14:00:53,412.0,411.12,411.45
2016-06-06 15:00:57,411.69,410.89,411.30
2016-06-06 16:00:59,412.24,410.93,411.60
2016-06-06 17:00:55,412.48,411.15,411.84
2016-06-06 18:00:54,413.23,412.41,412.85
2016-06-06 19:00:57,413.36,412.29,412.85
2016-06-06 20:00:56,413.29,412.36,412.71
2016-06-06 21:00:55,413.0,412.0,412.77
2016-06-06 22:00:57,413.55,412.7,413.08
2016-06-06 23:00:55,413.87,412.66,413.13
2016-06-07 00:00:58,414.03,411.46,413.65
2016-06-07 01:00:59,414.31,411.22,413.63
2016-06-07 02:00:49,414.42,413.71,414.18
2016-06-07 03:00:51,414.44,413.73,414.08
2016-06-07 04:00:54,413.78,410.77,412.45
2016-06-07 05:00:58,412.0,411.28,411.65
2016-06-07 06:00:55,413.61,411.9,413.29
2016-06-07 07:00:56,413.62,412.64,412.96
2016-06-07 08:00:52,412.97,412.11,412.67
2016-06-07 09:00:54,413.22,412.4,412.93
2016-06-07 10:00:56,414.31,413.05,413.62
2016-06-07 11:00:58,414.48,412.92,413.81
2016-06-07 12:00:58,414.08,413.24,413.62
2016-06-07 13:00:50,413.8,411.9,413.16
2016-06-07 14:00:50,412.31,408.91,410.68
2016-06-07 15:00:56,410.74,409.19,409.98
2016-06-07 16:00:56,409.18,405.11,406.12
2016-06-07 17:00:57,406.19,405.05,405.72
2016-06-07 18:00:49,406.39,405.46,405.89
2016-06-07 19:00:52,406.44,404.86,406.07
2016-06-07 20:00:59,406.12,405.15,405.72
2016-06-07 21:00:53,406.45,404.99,405.58
2016-06-07 22:00:55,407.15,404.98,406.02
2016-06-07 23:00:55,406.71,403.36,406.30
2016-06-08 00:00:57,406.62,403.31,405.81
2016-06-08 01:00:51,406.29,403.38,405.28
2016-06-08 02:00:53,406.01,403.01,404.77
2016-06-08 03:00:52,405.09,403.2,404.76
2016-06-08 04:00:53,404.31,403.15,403.79
2016-06-08 05:00:55,404.87,404.0,404.32
2016-06-08 06:00:57,407.74,404.87,407.27
2016-06-08 07:00:56,408.17,406.37,406.96
2016-06-08 08:00:57,408.55,406.52,407.84
2016-06-08 09:00:50,408.14,407.29,407.58
2016-06-08 10:00:53,407.79,406.74,407.24
2016-06-08 11:00:54,407.52,405.98,406.64
2016-06-08 12:00:58,407.06,406.34,406.75
2016-06-08 13:00:55,407.12,406.56,406.85
2016-06-08 14:00:56,407.5,406.7,407.09
2016-06-08 15:00:58,406.95,405.68,406.31
2016-06-08 16:00:58,408.13,406.46,407.56
2016-06-08 17:00:50,408.29,407.72,408.04
2016-06-08 18:00:51,408.37,406.82,407.55
2016-06-08 19:00:58,407.42,406.81,407.17
2016-06-08 20:00:58,407.35,406.74,407.12
2016-06-08 21:00:50,407.66,406.67,407.30
2016-06-08 22:00:59,407.78,407.3,407.56
2016-06-08 23:00:50,408.19,407.4,407.78
2016-06-09 00:00:53,408.63,407.88,408.28
2016-06-09 01:00:46,408.62,407.83,408.09
2016-06-09 02:00:52,408.43,408.02,408.30
2016-06-09 03:00:54,408.38,408.01,408.25
2016-06-09 04:00:57,408.69,407.94,408.32
2016-06-09 05:00:51,408.85,408.36,408.53
2016-06-09 06:00:56,409.14,408.4,408.92
2016-06-09 07:00:56,410.84,408.8,409.67
2016-06-09 08:00:48,411.2,410.16,410.83
2016-06-09 09:00:49,411.01,410.08,410.48
2016-06-09 10:00:51,411.89,411.0,411.51
2016-06-09 11:00:52,412.18,411.38,411.81
2016-06-09 12:00:56,411.45,410.73,411.03
2016-06-09 13:00:52,410.59,409.47,410.13
2016-06-09 14:00:53,410.23,409.36,409.72
2016-06-09 15:00:57,410.5,409.34,409.94
2016-06-09 16:00:57,410.48,409.95,410.11
2016-06-09 17:01:00,409.87,409.05,409.40
2016-06-09 18:00:54,409.22,408.64,408.92
2016-06-09 19:00:56,409.24,408.58,408.97
