datetime,high,low,average
2016-06-06 11:00:25,4712.65,4704.94,4708.34
2016-06-06 12:00:26,4712.03,4708.68,4709.92
2016-06-06 13:00:20,4720.0,4708.68,4714.89
2016-06-06 14:00:23,4730.6,4720.0,4726.72
2016-06-06 15:00:28,4730.6,4730.6,4730.60
2016-06-06 16:00:21,4730.6,4730.6,4730.60
2016-06-06 17:00:23,4730.6,4699.02,4714.96
2016-06-06 18:00:24,4712.46,4699.02,4705.60
2016-06-06 19:00:28,4715.32,4712.46,4713.39
2016-06-06 20:00:24,4850.37,4715.32,4831.49
2016-06-06 21:00:26,4850.1,4840.5,4844.97
2016-06-06 22:00:24,4844.73,4840.5,4843.54
2016-06-06 23:00:26,4842.69,4841.18,4842.05
2016-06-07 00:00:29,4903.86,4841.85,4886.51
2016-06-07 01:00:20,4902.56,4897.77,4899.68
2016-06-07 02:00:29,4897.77,4869.03,4875.87
2016-06-07 03:00:21,4869.03,4869.03,4869.03
2016-06-07 04:00:26,4869.03,4869.03,4869.03
2016-06-07 05:00:19,4869.03,4869.03,4869.03
2016-06-07 06:00:25,4919.12,4869.03,4897.02
2016-06-07 07:00:26,4922.84,4919.12,4920.50
2016-06-07 08:00:21,4922.84,4922.84,4922.84
2016-06-07 09:00:24,4922.84,4914.5,4917.40
2016-06-07 10:00:28,4914.5,4872.87,4886.35
2016-06-07 11:00:28,4873.69,4871.63,4873.11
2016-06-07 12:00:28,4871.63,4861.12,4863.12
2016-06-07 13:00:21,4868.25,4855.77,4862.27
2016-06-07 14:00:22,4855.8,4855.77,4855.79
2016-06-07 15:00:25,4855.8,4855.72,4855.76
2016-06-07 16:00:26,4855.72,4850.46,4853.63
2016-06-07 17:00:27,4850.46,4844.54,4847.48
2016-06-07 18:00:29,4844.54,4794.33,4812.12
2016-06-07 19:00:23,4800.9,4798.27,4800.37
2016-06-07 20:00:27,4798.45,4798.27,4798.43
2016-06-07 21:00:22,4798.45,4769.82,4776.16
2016-06-07 22:00:26,4796.55,4769.82,4791.08
2016-06-07 23:00:26,4796.55,4785.07,4791.12
2016-06-08 00:00:27,4799.27,4719.07,4782.55
2016-06-08 01:00:21,4727.79,4710.68,4720.78
2016-06-08 02:00:21,4727.79,4726.23,4726.41
2016-06-08 03:00:22,4726.23,4723.38,4724.60
2016-06-08 04:00:25,4723.38,4704.97,4713.75
2016-06-08 05:00:25,4841.12,4708.81,4805.15
2016-06-08 06:00:29,4841.12,4818.56,4831.89
2016-06-08 07:00:26,4837.87,4818.56,4824.34
