datetime,high,low,average
2016-06-06 11:00:25,4822.57,4809.25,4816.41
2016-06-06 12:00:26,4823.42,4809.49,4819.61
2016-06-06 13:00:20,4827.47,4806.82,4819.93
2016-06-06 14:00:23,4828.81,4828.05,4828.32
2016-06-06 15:00:28,4828.05,4814.65,4818.98
2016-06-06 16:00:21,4819.65,4778.51,4806.83
2016-06-06 17:00:23,4778.51,4773.14,4777.53
2016-06-06 18:00:24,4773.37,4758.42,4763.75
2016-06-06 19:00:28,4773.21,4754.03,4762.30
2016-06-06 20:00:24,4774.55,4760.43,4766.61
2016-06-06 21:00:26,4760.68,4750.62,4752.91
2016-06-06 22:00:24,4754.37,4749.97,4752.54
2016-06-06 23:00:26,4749.98,4743.58,4747.47
2016-06-07 00:00:29,4748.95,4744.88,4746.16
2016-06-07 01:00:20,4747.72,4716.26,4723.66
2016-06-07 02:00:29,4710.67,4706.09,4709.20
2016-06-07 03:00:21,4713.31,4704.66,4710.01
2016-06-07 04:00:26,4745.3,4704.66,4720.46
2016-06-07 05:00:19,4751.99,4744.42,4746.87
2016-06-07 06:00:25,4807.83,4781.78,4789.57
2016-06-07 07:00:26,4797.35,4792.36,4794.47
2016-06-07 08:00:21,4875.97,4794.45,4811.07
2016-06-07 09:00:24,4920.1,4875.97,4904.86
2016-06-07 10:00:28,4948.21,4920.1,4938.30
2016-06-07 11:00:28,4951.77,4925.0,4935.07
2016-06-07 12:00:28,4926.84,4889.05,4901.94
2016-06-07 13:00:21,4890.51,4865.72,4883.75
2016-06-07 14:00:22,4865.72,4857.18,4860.76
2016-06-07 15:00:25,4874.24,4862.59,4869.81
2016-06-07 16:00:26,4874.26,4867.21,4872.26
2016-06-07 17:00:27,4872.82,4820.03,4861.80
2016-06-07 18:00:29,4822.04,4819.23,4820.53
2016-06-07 19:00:23,4829.42,4823.97,4826.85
2016-06-07 20:00:27,4824.62,4820.14,4823.12
2016-06-07 21:00:22,4818.49,4774.64,4798.90
2016-06-07 22:00:26,4776.76,4762.2,4765.97
2016-06-07 23:00:26,4767.92,4752.95,4758.80
2016-06-08 00:00:27,4760.54,4752.95,4758.42
2016-06-08 01:00:21,4772.81,4759.45,4764.25
2016-06-08 02:00:21,4771.17,4760.48,4764.07
2016-06-08 03:00:22,4762.1,4746.13,4755.83
2016-06-08 04:00:25,4746.13,4718.52,4741.05
2016-06-08 05:00:25,4778.15,4707.32,4739.65
2016-06-08 06:00:29,4770.73,4761.66,4765.95
2016-06-08 07:00:26,4765.95,4756.17,4761.40
2016-06-08 08:00:27,4764.84,4739.12,4745.61
2016-06-08 09:00:20,4866.09,4742.45,4810.59
2016-06-08 10:00:23,4891.91,4865.48,4887.48
2016-06-08 11:00:25,4893.81,4887.83,4890.44
2016-06-08 12:00:27,4895.34,4890.92,4894.07
