datetime,high,low,average
2016-06-06 11:00:54,584.06,580.57,582.55
2016-06-06 12:00:56,584.43,583.34,583.95
2016-06-06 13:00:51,584.94,583.75,584.28
2016-06-06 14:00:53,584.62,582.6,583.73
2016-06-06 15:00:57,585.87,583.25,584.57
2016-06-06 16:00:59,587.01,583.37,584.82
2016-06-06 17:00:55,586.54,584.88,585.55
2016-06-06 18:00:54,587.37,584.67,585.93
2016-06-06 19:00:57,586.09,582.69,584.43
2016-06-06 20:00:56,584.49,581.27,583.70
2016-06-06 21:00:55,584.53,582.65,584.00
2016-06-06 22:00:57,585.98,584.42,585.33
2016-06-06 23:00:55,587.06,585.08,586.19
2016-06-07 00:00:58,591.99,586.77,589.47
2016-06-07 01:00:59,591.84,589.29,590.88
2016-06-07 02:00:49,591.68,589.21,591.04
2016-06-07 03:00:51,590.36,587.01,589.00
2016-06-07 04:00:54,588.16,585.46,587.09
2016-06-07 05:00:58,588.37,586.55,587.32
2016-06-07 06:00:55,587.28,586.65,586.99
2016-06-07 07:00:56,586.86,584.32,585.87
2016-06-07 08:00:52,587.65,586.25,586.83
2016-06-07 09:00:54,589.82,587.51,588.68
2016-06-07 10:00:56,591.96,589.82,591.14
2016-06-07 11:00:58,592.19,589.89,590.94
2016-06-07 12:00:58,591.06,589.53,590.36
2016-06-07 13:00:50,591.68,587.58,590.28
2016-06-07 14:00:50,588.87,577.76,582.57
2016-06-07 15:00:56,581.21,577.49,579.94
2016-06-07 16:00:56,576.26,567.85,571.48
2016-06-07 17:00:57,574.54,570.96,573.38
2016-06-07 18:00:49,576.12,573.79,575.20
2016-06-07 19:00:52,576.86,569.79,575.93
2016-06-07 20:00:59,578.1,573.86,575.61
2016-06-07 21:00:53,578.2,575.76,577.30
2016-06-07 22:00:55,576.69,574.58,575.77
2016-06-07 23:00:55,578.08,575.96,577.26
2016-06-08 00:00:57,578.16,576.97,577.63
2016-06-08 01:00:51,577.26,574.65,575.85
2016-06-08 02:00:53,575.35,573.28,574.69
2016-06-08 03:00:52,575.95,574.8,575.34
2016-06-08 04:00:53,576.08,574.27,575.47
2016-06-08 05:00:55,574.99,573.87,574.53
2016-06-08 06:00:57,574.99,573.66,574.44
2016-06-08 07:00:56,576.91,574.48,575.65
2016-06-08 08:00:57,579.72,576.92,578.59
2016-06-08 09:00:50,579.86,578.42,579.23
2016-06-08 10:00:53,581.08,578.68,579.99
2016-06-08 11:00:54,583.17,581.15,581.85
2016-06-08 12:00:58,583.45,580.78,582.47
2016-06-08 13:00:55,581.73,579.4,581.01
2016-06-08 14:00:56,579.97,579.16,579.60
2016-06-08 15:00:58,579.26,575.27,576.85
2016-06-08 16:00:58,580.23,577.24,578.88
2016-06-08 17:00:50,580.39,579.45,579.90
2016-06-08 18:00:51,580.86,579.44,580.19
2016-06-08 19:00:58,582.49,580.11,580.94
2016-06-08 20:00:58,582.6,580.47,581.62
2016-06-08 21:00:50,583.0,581.55,582.17
2016-06-08 22:00:59,584.88,583.49,584.36
2016-06-08 23:00:50,584.5,583.77,584.07
2016-06-09 00:00:53,584.38,580.93,582.31
2016-06-09 01:00:46,583.29,579.47,580.53
2016-06-09 02:00:52,581.27,579.76,580.77
2016-06-09 03:00:54,581.76,580.4,581.16
2016-06-09 04:00:57,582.02,580.64,581.58
2016-06-09 05:00:51,581.96,579.94,580.83
2016-06-09 06:00:56,581.05,580.19,580.59
2016-06-09 07:00:56,582.26,580.87,581.60
2016-06-09 08:00:48,583.09,580.94,582.02
2016-06-09 09:00:49,583.33,582.2,582.76
2016-06-09 10:00:51,584.12,582.1,582.78
2016-06-09 11:00:52,584.57,583.93,584.27
2016-06-09 12:00:56,584.86,580.85,583.96
2016-06-09 13:00:52,581.35,576.5,579.36
2016-06-09 14:00:53,578.07,574.34,576.85
2016-06-09 15:00:57,577.99,577.0,577.53
2016-06-09 16:00:57,577.82,576.81,577.41
2016-06-09 17:01:00,577.62,576.05,576.88
2016-06-09 18:01:23,578.57,575.69,577.56
2016-06-09 19:01:24,578.69,577.31,577.98
2016-06-09 20:01:26,578.63,576.44,577.37
2016-06-09 21:01:24,577.37,576.39,576.81
2016-06-09 22:01:20,578.39,576.91,577.88
2016-06-09 23:01:25,578.76,576.91,578.09
2016-06-10 00:01:27,577.84,576.04,577.09
2016-06-10 01:01:25,577.86,576.79,577.39
2016-06-10 02:01:21,578.06,576.59,577.34
2016-06-10 03:01:25,578.23,576.51,577.51
2016-06-10 04:01:21,577.35,576.16,576.70
2016-06-10 05:01:26,577.09,576.02,576.40
2016-06-10 06:01:26,578.18,576.85,577.46
2016-06-10 07:01:29,579.87,577.28,578.51
2016-06-10 08:01:24,582.92,579.51,581.05
2016-06-10 09:01:25,582.25,580.48,581.25
2016-06-10 10:01:28,582.6,580.48,581.89
2016-06-10 11:01:24,581.3,578.0,580.05
2016-06-10 12:01:27,580.42,578.42,579.74
2016-06-10 13:01:28,580.23,579.25,579.65
2016-06-10 14:01:20,581.44,579.59,580.67
2016-06-10 15:01:22,580.19,579.3,579.69
2016-06-10 16:01:25,580.01,578.74,579.53
2016-06-10 17:01:29,579.68,578.63,579.22
2016-06-10 18:01:24,580.4,579.1,579.45
2016-06-10 19:01:27,581.4,580.07,580.68
2016-06-10 20:01:27,581.43,579.7,580.76
2016-06-10 21:01:26,581.29,580.3,580.64
2016-06-10 22:01:27,580.56,579.25,579.89
2016-06-10 23:01:23,581.49,579.72,580.68
2016-06-11 00:01:28,582.23,580.79,581.66
2016-06-11 01:01:27,583.48,581.86,582.91
2016-06-11 02:01:21,586.82,583.2,584.64
2016-06-11 03:01:23,586.77,585.28,585.89
2016-06-11 04:01:27,585.94,584.63,585.38
2016-06-11 05:01:28,585.51,584.0,584.75
2016-06-11 06:01:29,585.81,583.91,584.75
2016-06-11 07:01:29,586.08,584.62,585.35
2016-06-11 08:01:24,587.63,585.29,586.24
2016-06-11 09:01:25,588.48,585.35,586.96
2016-06-11 10:01:27,588.99,587.35,588.34
2016-06-11 11:01:26,587.95,585.68,587.09
2016-06-11 12:01:24,587.44,585.94,586.92
2016-06-11 13:01:26,588.23,586.93,587.52
2016-06-11 14:01:21,587.42,586.32,586.78
2016-06-11 15:01:21,587.42,586.31,586.85
2016-06-11 16:01:24,586.93,586.01,586.31
2016-06-11 17:01:27,588.03,586.86,587.43
2016-06-11 18:01:29,587.58,587.06,587.37
2016-06-11 19:01:21,587.56,586.58,587.01
2016-06-11 20:01:24,588.32,586.97,587.53
2016-06-11 21:01:23,586.65,585.73,586.38
2016-06-11 22:01:28,592.16,586.53,587.80
2016-06-11 23:01:21,612.24,592.92,600.16
2016-06-12 00:01:22,619.32,606.6,611.02
2016-06-12 01:01:24,621.38,613.12,618.22
2016-06-12 02:01:24,623.48,619.59,621.26
2016-06-12 03:01:21,631.79,620.76,625.77
